Player,URL,Eligible,Contract,Salary
Carson Kelly,https://www.baseball-reference.com/players/k/kellyca02.shtml,True,0,0.0
Christian Walker,https://www.baseball-reference.com/players/w/walkech02.shtml,True,0,0.0
Josh VanMeter,https://www.baseball-reference.com/players/v/vanmejo01.shtml,True,0,0.0
Nick Ahmed,https://www.baseball-reference.com/players/a/ahmedni01.shtml,True,2020,8.125
Eduardo Escobar,https://www.baseball-reference.com/players/e/escobed01.shtml,True,2022,10.0
David Peralta,https://www.baseball-reference.com/players/p/peralda01.shtml,True,2020,7.333333333333333
Ketel Marte,https://www.baseball-reference.com/players/m/marteke01.shtml,True,0,0.0
Pavin Smith,https://www.baseball-reference.com/players/s/smithpa04.shtml,True,0,0.0
Josh Rojas,https://www.baseball-reference.com/players/r/rojasjo01.shtml,True,0,0.0
Asdrubal Cabrera,https://www.baseball-reference.com/players/c/cabreas01.shtml,True,0,0.0
Daulton Varsho,https://www.baseball-reference.com/players/v/varshda01.shtml,True,0,0.0
Kole Calhoun,https://www.baseball-reference.com/players/c/calhoko01.shtml,True,2022,5.2
Josh Reddick,https://www.baseball-reference.com/players/r/reddijo01.shtml,True,0,0.0
Stephen Vogt,https://www.baseball-reference.com/players/v/vogtst01.shtml,True,0,0.0
Tim Locastro,https://www.baseball-reference.com/players/l/locasti01.shtml,True,0,0.0
Andrew Young,https://www.baseball-reference.com/players/y/youngan02.shtml,True,0,0.0
Drew Ellis,https://www.baseball-reference.com/players/e/ellisdr01.shtml,True,0,0.0
Jake McCarthy,https://www.baseball-reference.com/players/m/mccarja02.shtml,True,0,0.0
Henry Ramos,https://www.baseball-reference.com/players/r/ramoshe01.shtml,True,0,0.0
Wyatt Mathisen,https://www.baseball-reference.com/players/m/mathiwy01.shtml,True,0,0.0
Ildemaro Vargas,https://www.baseball-reference.com/players/v/vargail01.shtml,True,0,0.0
Nick Heath,https://www.baseball-reference.com/players/h/heathni01.shtml,True,0,0.0
Geraldo Perdomo,https://www.baseball-reference.com/players/p/perdoge01.shtml,True,0,0.0
Bryan Holaday,https://www.baseball-reference.com/players/h/holadbr01.shtml,True,0,0.0
Domingo Leyba,https://www.baseball-reference.com/players/l/leybado01.shtml,True,0,0.0
Jake Hager,https://www.baseball-reference.com/players/h/hagerja01.shtml,True,0,0.0
Stuart Fairchild,https://www.baseball-reference.com/players/f/faircst01.shtml,True,0,0.0
Seth Beer,https://www.baseball-reference.com/players/b/beerse01.shtml,True,0,0.0
Travis d'Arnaud,https://www.baseball-reference.com/players/d/darnatr01.shtml,True,2022,8.0
Freddie Freeman,https://www.baseball-reference.com/players/f/freemfr01.shtml,True,0,0.0
Ozzie Albies,https://www.baseball-reference.com/players/a/albieoz01.shtml,True,2019,5.0
Dansby Swanson,https://www.baseball-reference.com/players/s/swansda01.shtml,True,0,0.0
Austin Riley,https://www.baseball-reference.com/players/r/rileyau01.shtml,True,0,0.0
Marcell Ozuna,https://www.baseball-reference.com/players/o/ozunama01.shtml,True,2021,16.25
Guillermo Heredia,https://www.baseball-reference.com/players/h/heredgu01.shtml,True,0,0.0
Ronald Acuna Jr.,https://www.baseball-reference.com/players/a/acunaro01.shtml,True,2019,12.5
Jorge Soler,https://www.baseball-reference.com/players/s/solerjo01.shtml,True,0,0.0
Adam Duvall,https://www.baseball-reference.com/players/d/duvalad01.shtml,True,0,0.0
Ehire Adrianza,https://www.baseball-reference.com/players/a/adriaeh01.shtml,True,0,0.0
Joc Pederson,https://www.baseball-reference.com/players/p/pederjo01.shtml,True,0,0.0
William Contreras,https://www.baseball-reference.com/players/c/contrwi02.shtml,True,0,0.0
Abraham Almonte,https://www.baseball-reference.com/players/a/almonab01.shtml,True,0,0.0
Eddie Rosario,https://www.baseball-reference.com/players/r/rosared01.shtml,True,0,0.0
Kevan Smith,https://www.baseball-reference.com/players/s/smithke04.shtml,True,0,0.0
Ender Inciarte,https://www.baseball-reference.com/players/i/inciaen01.shtml,True,0,0.0
Pablo Sandoval,https://www.baseball-reference.com/players/s/sandopa01.shtml,True,0,0.0
Orlando Arcia,https://www.baseball-reference.com/players/a/arciaor01.shtml,True,2022,1.5
Cristian Pache,https://www.baseball-reference.com/players/p/pachecr01.shtml,True,0,0.0
Alex Jackson,https://www.baseball-reference.com/players/j/jacksal02.shtml,True,0,0.0
Johan Camargo,https://www.baseball-reference.com/players/c/camarjo01.shtml,True,0,0.0
Jonathan Lucroy,https://www.baseball-reference.com/players/l/lucrojo01.shtml,True,0,0.0
Jeff Mathis,https://www.baseball-reference.com/players/m/mathije01.shtml,True,0,0.0
Sean Kazmar Jr.,https://www.baseball-reference.com/players/k/kazmase01.shtml,True,0,0.0
Pedro Severino,https://www.baseball-reference.com/players/s/severpe01.shtml,True,0,0.0
Ryan Mountcastle,https://www.baseball-reference.com/players/m/mountry01.shtml,True,0,0.0
Pat Valaika,https://www.baseball-reference.com/players/v/valaipa01.shtml,True,0,0.0
Freddy Galvis,https://www.baseball-reference.com/players/g/galvifr01.shtml,True,0,0.0
Maikel Franco,https://www.baseball-reference.com/players/f/francma02.shtml,True,0,0.0
Austin Hays,https://www.baseball-reference.com/players/h/haysau01.shtml,True,0,0.0
Cedric Mullins,https://www.baseball-reference.com/players/m/mullice01.shtml,True,0,0.0
Anthony Santander,https://www.baseball-reference.com/players/s/santaan02.shtml,True,0,0.0
Trey Mancini,https://www.baseball-reference.com/players/m/mancitr01.shtml,True,0,0.0
DJ Stewart,https://www.baseball-reference.com/players/s/stewadj01.shtml,True,0,0.0
Ramon Urias,https://www.baseball-reference.com/players/u/uriasra01.shtml,True,0,0.0
Ryan McKenna,https://www.baseball-reference.com/players/m/mckenry01.shtml,True,0,0.0
Kelvin Gutierrez,https://www.baseball-reference.com/players/g/gutieke01.shtml,True,0,0.0
Austin Wynns,https://www.baseball-reference.com/players/w/wynnsau01.shtml,True,0,0.0
Jorge Mateo,https://www.baseball-reference.com/players/m/mateojo01.shtml,True,0,0.0
Richie Martin,https://www.baseball-reference.com/players/m/martiri01.shtml,True,0,0.0
Rio Ruiz,https://www.baseball-reference.com/players/r/ruizri01.shtml,True,0,0.0
Stevie Wilkerson,https://www.baseball-reference.com/players/w/wilkest01.shtml,True,0,0.0
Chance Sisco,https://www.baseball-reference.com/players/s/siscoch01.shtml,True,0,0.0
Jahmai Jones,https://www.baseball-reference.com/players/j/jonesja08.shtml,True,0,0.0
Tyler Nevin,https://www.baseball-reference.com/players/n/nevinty01.shtml,True,0,0.0
Nick Ciuffo,https://www.baseball-reference.com/players/c/ciuffni01.shtml,True,0,0.0
Christian Vazquez,https://www.baseball-reference.com/players/v/vazquch01.shtml,True,2019,5.075
Bobby Dalbec,https://www.baseball-reference.com/players/d/dalbebo01.shtml,True,0,0.0
Christian Arroyo,https://www.baseball-reference.com/players/a/arroych01.shtml,True,0,0.0
Xander Bogaerts,https://www.baseball-reference.com/players/b/bogaexa01.shtml,True,2020,20.0
Rafael Devers,https://www.baseball-reference.com/players/d/deverra01.shtml,True,0,0.0
Alex Verdugo,https://www.baseball-reference.com/players/v/verdual01.shtml,True,0,0.0
Enrique Hernandez,https://www.baseball-reference.com/players/h/hernaen02.shtml,True,2021,7.0
Hunter Renfroe,https://www.baseball-reference.com/players/r/renfrhu01.shtml,True,0,0.0
J.D. Martinez,https://www.baseball-reference.com/players/m/martijd02.shtml,True,2018,21.99
Marwin Gonzalez,https://www.baseball-reference.com/players/g/gonzama01.shtml,True,0,0.0
Kevin Plawecki,https://www.baseball-reference.com/players/p/plaweke01.shtml,True,0,0.0
Kyle Schwarber,https://www.baseball-reference.com/players/s/schwaky01.shtml,True,0,0.0
Franchy Cordero,https://www.baseball-reference.com/players/c/cordefr02.shtml,True,0,0.0
Danny Santana,https://www.baseball-reference.com/players/s/santada01.shtml,True,0,0.0
Jarren Duran,https://www.baseball-reference.com/players/d/duranja01.shtml,True,0,0.0
Michael Chavis,https://www.baseball-reference.com/players/c/chavimi01.shtml,True,0,0.0
Jonathan Arauz,https://www.baseball-reference.com/players/a/arauzjo01.shtml,True,0,0.0
José Iglesias,https://www.baseball-reference.com/players/i/iglesjo01.shtml,True,0,0.0
Travis Shaw,https://www.baseball-reference.com/players/s/shawtr01.shtml,True,0,0.0
Jack Lopez,https://www.baseball-reference.com/players/l/lopezja03.shtml,True,0,0.0
Connor Wong,https://www.baseball-reference.com/players/w/wongco01.shtml,True,0,0.0
Yairo Munoz,https://www.baseball-reference.com/players/m/munozya01.shtml,True,0,0.0
Taylor Motter,https://www.baseball-reference.com/players/m/motteta01.shtml,True,0,0.0
Willson Contreras,https://www.baseball-reference.com/players/c/contrwi01.shtml,True,0,0.0
Anthony Rizzo,https://www.baseball-reference.com/players/r/rizzoan01.shtml,True,0,0.0
David Bote,https://www.baseball-reference.com/players/b/boteda01.shtml,True,2020,3.0
Javier Baez,https://www.baseball-reference.com/players/b/baezja01.shtml,True,2022,23.33333333333333
Patrick Wisdom,https://www.baseball-reference.com/players/w/wisdopa01.shtml,True,0,0.0
Rafael Ortega,https://www.baseball-reference.com/players/o/ortegra01.shtml,True,0,0.0
Jason Heyward,https://www.baseball-reference.com/players/h/heywaja01.shtml,True,2016,23.0
Ian Happ,https://www.baseball-reference.com/players/h/happia01.shtml,True,0,0.0
Kris Bryant,https://www.baseball-reference.com/players/b/bryankr01.shtml,True,0,0.0
Matt Duffy,https://www.baseball-reference.com/players/d/duffyma01.shtml,True,0,0.0
Sergio Alcantara,https://www.baseball-reference.com/players/a/alcanse01.shtml,True,0,0.0
Frank Schwindel,https://www.baseball-reference.com/players/s/schwifr01.shtml,True,0,0.0
Eric Sogard,https://www.baseball-reference.com/players/s/sogarer01.shtml,True,0,0.0
Nico Hoerner,https://www.baseball-reference.com/players/h/hoernni01.shtml,True,0,0.0
Jake Marisnick,https://www.baseball-reference.com/players/m/marisja01.shtml,True,0,0.0
Robinson Chirinos,https://www.baseball-reference.com/players/c/chiriro01.shtml,True,0,0.0
Andrew Romine,https://www.baseball-reference.com/players/r/rominan01.shtml,True,0,0.0
Austin Romine,https://www.baseball-reference.com/players/r/rominau01.shtml,True,0,0.0
Alfonso Rivas,https://www.baseball-reference.com/players/r/rivasal01.shtml,True,0,0.0
Nick Martini,https://www.baseball-reference.com/players/m/martini02.shtml,True,0,0.0
Michael Hermosillo,https://www.baseball-reference.com/players/h/hermomi01.shtml,True,0,0.0
Trayce Thompson,https://www.baseball-reference.com/players/t/thomptr01.shtml,True,0,0.0
Johneshwy Fargas,https://www.baseball-reference.com/players/f/fargajo01.shtml,True,0,0.0
Greg Deichmann,https://www.baseball-reference.com/players/d/deichgr01.shtml,True,0,0.0
Tony Wolters,https://www.baseball-reference.com/players/w/wolteto01.shtml,True,0,0.0
P.J. Higgins,https://www.baseball-reference.com/players/h/higgipj01.shtml,True,0,0.0
Trent Giambrone,https://www.baseball-reference.com/players/g/giambtr01.shtml,True,0,0.0
Jose Lobaton,https://www.baseball-reference.com/players/l/lobatjo01.shtml,True,0,0.0
Erick Castillo,https://www.baseball-reference.com/players/c/castier01.shtml,True,0,0.0
Taylor Gushue,https://www.baseball-reference.com/players/g/gushuta01.shtml,True,0,0.0
Tyler Payne,https://www.baseball-reference.com/players/p/paynety01.shtml,True,0,0.0
Tyler Ladendorf,https://www.baseball-reference.com/players/l/ladenty01.shtml,True,0,0.0
Yasmani Grandal,https://www.baseball-reference.com/players/g/grandya01.shtml,True,2020,18.25
José Abreu,https://www.baseball-reference.com/players/a/abreujo02.shtml,True,2020,16.666666666666668
Cesar Hernandez,https://www.baseball-reference.com/players/h/hernace02.shtml,True,2022,4.0
Tim Anderson,https://www.baseball-reference.com/players/a/anderti01.shtml,True,0,0.0
Yoan Moncada,https://www.baseball-reference.com/players/m/moncayo01.shtml,True,2020,14.0
Andrew Vaughn,https://www.baseball-reference.com/players/v/vaughan01.shtml,True,0,0.0
Luis Robert,https://www.baseball-reference.com/players/r/roberlu01.shtml,True,2020,8.333333333333334
Adam Eaton,https://www.baseball-reference.com/players/e/eatonad02.shtml,True,0,0.0
Yermin Mercedes,https://www.baseball-reference.com/players/m/merceye01.shtml,True,0,0.0
Leury Garcia,https://www.baseball-reference.com/players/g/garcile02.shtml,True,2022,5.5
Brian Goodwin,https://www.baseball-reference.com/players/g/goodwbr01.shtml,True,0,0.0
Eloy Jimenez,https://www.baseball-reference.com/players/j/jimenel02.shtml,True,2019,7.166666666666667
Zack Collins,https://www.baseball-reference.com/players/c/colliza01.shtml,True,0,0.0
Nick Madrigal,https://www.baseball-reference.com/players/m/madrini01.shtml,True,0,0.0
Danny Mendick,https://www.baseball-reference.com/players/m/mendida01.shtml,True,0,0.0
Gavin Sheets,https://www.baseball-reference.com/players/s/sheetga01.shtml,True,0,0.0
Adam Engel,https://www.baseball-reference.com/players/e/engelad01.shtml,True,0,0.0
Billy Hamilton,https://www.baseball-reference.com/players/h/hamilbi02.shtml,True,0,0.0
Jake Lamb,https://www.baseball-reference.com/players/l/lambja01.shtml,True,0,0.0
Seby Zavala,https://www.baseball-reference.com/players/z/zavalse01.shtml,True,0,0.0
Jake Burger,https://www.baseball-reference.com/players/b/burgeja01.shtml,True,0,0.0
Romy Gonzalez,https://www.baseball-reference.com/players/g/gonzaro01.shtml,True,0,0.0
Nick Williams,https://www.baseball-reference.com/players/w/willini01.shtml,True,0,0.0
Luis Gonzalez,https://www.baseball-reference.com/players/g/gonzalu03.shtml,True,0,0.0
Tucker Barnhart,https://www.baseball-reference.com/players/b/barnhtu01.shtml,True,2018,4.6
Joey Votto,https://www.baseball-reference.com/players/v/vottojo01.shtml,True,2014,22.5
Jonathan India,https://www.baseball-reference.com/players/i/indiajo01.shtml,True,0,0.0
Kyle Farmer,https://www.baseball-reference.com/players/f/farmeky01.shtml,True,0,0.0
Eugenio Suarez,https://www.baseball-reference.com/players/s/suareeu01.shtml,True,2018,9.428571428571429
Jesse Winker,https://www.baseball-reference.com/players/w/winkeje01.shtml,True,0,0.0
Tyler Naquin,https://www.baseball-reference.com/players/n/naquity01.shtml,True,0,0.0
Nick Castellanos,https://www.baseball-reference.com/players/c/casteni01.shtml,True,2020,16.0
Tyler Stephenson,https://www.baseball-reference.com/players/s/stephty01.shtml,True,0,0.0
Mike Moustakas,https://www.baseball-reference.com/players/m/moustmi01.shtml,True,2020,16.0
Aristides Aquino,https://www.baseball-reference.com/players/a/aquinar01.shtml,True,0,0.0
Shogo Akiyama,https://www.baseball-reference.com/players/a/akiyash01.shtml,True,0,0.0
Max Schrock,https://www.baseball-reference.com/players/s/schroma01.shtml,True,0,0.0
Nick Senzel,https://www.baseball-reference.com/players/s/senzeni01.shtml,True,0,0.0
Alex Blandino,https://www.baseball-reference.com/players/b/blandal01.shtml,True,0,0.0
Mike Freeman,https://www.baseball-reference.com/players/f/freemmi01.shtml,True,0,0.0
Delino DeShields,https://www.baseball-reference.com/players/d/deshide02.shtml,True,0,0.0
José Barrero,https://www.baseball-reference.com/players/g/garcijo02.shtml,True,0,0.0
TJ Friedl,https://www.baseball-reference.com/players/f/friedtj01.shtml,True,0,0.0
Scott Heineman,https://www.baseball-reference.com/players/h/heinesc01.shtml,True,0,0.0
Mark Payton,https://www.baseball-reference.com/players/p/paytoma01.shtml,True,0,0.0
Alejo Lopez,https://www.baseball-reference.com/players/l/lopezal03.shtml,True,0,0.0
Austin Hedges,https://www.baseball-reference.com/players/h/hedgeau01.shtml,True,0,0.0
Bobby Bradley,https://www.baseball-reference.com/players/b/bradlbo01.shtml,True,0,0.0
Amed Rosario,https://www.baseball-reference.com/players/r/rosaram01.shtml,True,0,0.0
Jose Ramirez,https://www.baseball-reference.com/players/r/ramirjo01.shtml,True,2017,6.0
Myles Straw,https://www.baseball-reference.com/players/s/strawmy01.shtml,True,0,0.0
Josh Naylor,https://www.baseball-reference.com/players/n/naylojo01.shtml,True,0,0.0
Franmil Reyes,https://www.baseball-reference.com/players/r/reyesfr01.shtml,True,0,0.0
Harold Ramirez,https://www.baseball-reference.com/players/r/ramirha02.shtml,True,0,0.0
Bradley Zimmer,https://www.baseball-reference.com/players/z/zimmebr01.shtml,True,0,0.0
Yu Chang,https://www.baseball-reference.com/players/c/changyu01.shtml,True,0,0.0
Oscar Mercado,https://www.baseball-reference.com/players/m/mercaos01.shtml,True,0,0.0
Andres Gimenez,https://www.baseball-reference.com/players/g/gimenan01.shtml,True,0,0.0
Owen Miller,https://www.baseball-reference.com/players/m/milleow01.shtml,True,0,0.0
Roberto Perez,https://www.baseball-reference.com/players/p/perezro02.shtml,True,2022,5.0
Ernie Clement,https://www.baseball-reference.com/players/c/clemeer01.shtml,True,0,0.0
Jordan Luplow,https://www.baseball-reference.com/players/l/luplojo01.shtml,True,0,0.0
Jake Bauers,https://www.baseball-reference.com/players/b/bauerja01.shtml,True,0,0.0
Daniel Johnson,https://www.baseball-reference.com/players/j/johnsda07.shtml,True,0,0.0
Rene Rivera,https://www.baseball-reference.com/players/r/riverre01.shtml,True,0,0.0
Wilson Ramos,https://www.baseball-reference.com/players/r/ramoswi01.shtml,True,0,0.0
Ryan Lavarnway,https://www.baseball-reference.com/players/l/lavarry01.shtml,True,0,0.0
Ben Gamel,https://www.baseball-reference.com/players/g/gamelbe01.shtml,True,0,0.0
Anthony Gose,https://www.baseball-reference.com/players/g/gosean01.shtml,True,0,0.0
Elias Diaz,https://www.baseball-reference.com/players/d/diazel01.shtml,True,2022,4.833333333333333
C.J. Cron,https://www.baseball-reference.com/players/c/croncj01.shtml,True,2022,7.25
Brendan Rodgers,https://www.baseball-reference.com/players/r/rodgebr02.shtml,True,0,0.0
Trevor Story,https://www.baseball-reference.com/players/s/storytr01.shtml,True,0,0.0
Ryan McMahon,https://www.baseball-reference.com/players/m/mcmahry01.shtml,True,0,0.0
Raimel Tapia,https://www.baseball-reference.com/players/t/tapiara01.shtml,True,0,0.0
Garrett Hampson,https://www.baseball-reference.com/players/h/hampsga01.shtml,True,0,0.0
Charlie Blackmon,https://www.baseball-reference.com/players/b/blackch02.shtml,True,2018,19.6
Yonathan Daza,https://www.baseball-reference.com/players/d/dazayo01.shtml,True,0,0.0
Joshua Fuentes,https://www.baseball-reference.com/players/f/fuentjo01.shtml,True,0,0.0
Dom Nunez,https://www.baseball-reference.com/players/n/nunezdo01.shtml,True,0,0.0
Sam Hilliard,https://www.baseball-reference.com/players/h/hillisa01.shtml,True,0,0.0
Connor Joe,https://www.baseball-reference.com/players/j/joeco01.shtml,True,0,0.0
Alan Trejo,https://www.baseball-reference.com/players/t/trejoal01.shtml,True,0,0.0
Chris Owings,https://www.baseball-reference.com/players/o/owingch01.shtml,True,0,0.0
Colton Welker,https://www.baseball-reference.com/players/w/welkeco01.shtml,True,0,0.0
Matt Adams,https://www.baseball-reference.com/players/a/adamsma01.shtml,True,0,0.0
Ryan Vilade,https://www.baseball-reference.com/players/v/viladry01.shtml,True,0,0.0
Eric Haase,https://www.baseball-reference.com/players/h/haaseer01.shtml,True,0,0.0
Jonathan Schoop,https://www.baseball-reference.com/players/s/schoojo01.shtml,True,2022,7.5
Willi Castro,https://www.baseball-reference.com/players/c/castrwi01.shtml,True,0,0.0
Niko Goodrum,https://www.baseball-reference.com/players/g/goodrni01.shtml,True,0,0.0
Jeimer Candelario,https://www.baseball-reference.com/players/c/candeje01.shtml,True,0,0.0
Robbie Grossman,https://www.baseball-reference.com/players/g/grossro01.shtml,True,2021,5.0
Akil Baddoo,https://www.baseball-reference.com/players/b/baddoak01.shtml,True,0,0.0
Nomar Mazara,https://www.baseball-reference.com/players/m/mazarno01.shtml,True,0,0.0
Miguel Cabrera,https://www.baseball-reference.com/players/c/cabremi01.shtml,True,2016,30.0
Harold Castro,https://www.baseball-reference.com/players/c/castrha01.shtml,True,0,0.0
Victor Reyes,https://www.baseball-reference.com/players/r/reyesvi01.shtml,True,0,0.0
Zack Short,https://www.baseball-reference.com/players/s/shortza01.shtml,True,0,0.0
Derek Hill,https://www.baseball-reference.com/players/h/hillde01.shtml,True,0,0.0
Jake Rogers,https://www.baseball-reference.com/players/r/rogerja03.shtml,True,0,0.0
Daz Cameron,https://www.baseball-reference.com/players/c/camerda01.shtml,True,0,0.0
JaCoby Jones,https://www.baseball-reference.com/players/j/jonesja07.shtml,True,0,0.0
Isaac Paredes,https://www.baseball-reference.com/players/p/paredis01.shtml,True,0,0.0
Grayson Greiner,https://www.baseball-reference.com/players/g/greingr01.shtml,True,0,0.0
Dustin Garneau,https://www.baseball-reference.com/players/g/garnedu01.shtml,True,0,0.0
Renato Nunez,https://www.baseball-reference.com/players/n/nunezre01.shtml,True,0,0.0
Jacob Robson,https://www.baseball-reference.com/players/r/robsoja01.shtml,True,0,0.0
Martin Maldonado,https://www.baseball-reference.com/players/m/maldoma01.shtml,True,2022,4.5
Yuli Gurriel,https://www.baseball-reference.com/players/g/gourryu01.shtml,True,0,0.0
Jose Altuve,https://www.baseball-reference.com/players/a/altuvjo01.shtml,True,2018,23.357142857142858
Carlos Correa,https://www.baseball-reference.com/players/c/correca01.shtml,True,0,0.0
Alex Bregman,https://www.baseball-reference.com/players/b/bregmal01.shtml,True,2020,20.0
Michael Brantley,https://www.baseball-reference.com/players/b/brantmi02.shtml,True,2021,16.0
Kyle Tucker,https://www.baseball-reference.com/players/t/tuckeky01.shtml,True,0,0.0
Yordan Álvarez,https://www.baseball-reference.com/players/a/alvaryo01.shtml,True,0,0.0
Chas McCormick,https://www.baseball-reference.com/players/m/mccorch01.shtml,True,0,0.0
Aledmys Díaz,https://www.baseball-reference.com/players/d/diazal02.shtml,True,0,0.0
Jason Castro,https://www.baseball-reference.com/players/c/castrja01.shtml,True,2021,3.5
Jake Meyers,https://www.baseball-reference.com/players/m/meyerja02.shtml,True,0,0.0
Abraham Toro,https://www.baseball-reference.com/players/t/toroab01.shtml,True,0,0.0
Robel Garcia,https://www.baseball-reference.com/players/g/garciro02.shtml,True,0,0.0
Taylor Jones,https://www.baseball-reference.com/players/j/jonesta01.shtml,True,0,0.0
Jose Siri,https://www.baseball-reference.com/players/s/sirijo01.shtml,True,0,0.0
Garrett Stubbs,https://www.baseball-reference.com/players/s/stubbga01.shtml,True,0,0.0
Jacob Wilson,https://www.baseball-reference.com/players/w/wilsoja04.shtml,True,0,0.0
Alex De Goti,https://www.baseball-reference.com/players/d/degotal01.shtml,True,0,0.0
Ronnie Dawson,https://www.baseball-reference.com/players/d/dawsoro01.shtml,True,0,0.0
Salvador Perez,https://www.baseball-reference.com/players/p/perezsa02.shtml,True,2022,20.5
Carlos Santana,https://www.baseball-reference.com/players/s/santaca01.shtml,True,2021,8.75
Whit Merrifield,https://www.baseball-reference.com/players/m/merriwh01.shtml,True,0,0.0
Nicky Lopez,https://www.baseball-reference.com/players/l/lopezni01.shtml,True,0,0.0
Andrew Benintendi,https://www.baseball-reference.com/players/b/beninan01.shtml,True,0,0.0
Michael A. Taylor,https://www.baseball-reference.com/players/t/taylomi02.shtml,True,2022,4.5
Hunter Dozier,https://www.baseball-reference.com/players/d/doziehu01.shtml,True,2021,6.25
Hanser Alberto,https://www.baseball-reference.com/players/a/alberha01.shtml,True,0,0.0
Ryan O'Hearn,https://www.baseball-reference.com/players/o/ohearry01.shtml,True,0,0.0
Adalberto Mondesi,https://www.baseball-reference.com/players/m/mondera02.shtml,True,0,0.0
Jarrod Dyson,https://www.baseball-reference.com/players/d/dysonja01.shtml,True,0,0.0
Cam Gallagher,https://www.baseball-reference.com/players/g/gallaca01.shtml,True,0,0.0
Edward Olivares,https://www.baseball-reference.com/players/o/olivaed02.shtml,True,0,0.0
Emmanuel Rivera,https://www.baseball-reference.com/players/r/riverem01.shtml,True,0,0.0
Kyle Isbel,https://www.baseball-reference.com/players/i/isbelky01.shtml,True,0,0.0
Sebastian Rivero,https://www.baseball-reference.com/players/r/riverse01.shtml,True,0,0.0
Ryan McBroom,https://www.baseball-reference.com/players/m/mcbrory01.shtml,True,0,0.0
Will Smith,https://www.baseball-reference.com/players/s/smithwi05.shtml,True,0,0.0
Max Muncy,https://www.baseball-reference.com/players/m/muncyma01.shtml,True,0,0.0
Trea Turner,https://www.baseball-reference.com/players/t/turnetr01.shtml,True,0,0.0
Corey Seager,https://www.baseball-reference.com/players/s/seageco01.shtml,True,2022,32.5
Justin Turner,https://www.baseball-reference.com/players/t/turneju01.shtml,True,2021,17.0
AJ Pollock,https://www.baseball-reference.com/players/p/polloaj01.shtml,True,2019,13.75
Cody Bellinger,https://www.baseball-reference.com/players/b/bellico01.shtml,True,0,0.0
Mookie Betts,https://www.baseball-reference.com/players/b/bettsmo01.shtml,True,2021,30.416666666666668
Chris Taylor,https://www.baseball-reference.com/players/t/tayloch03.shtml,True,2022,15.0
Gavin Lux,https://www.baseball-reference.com/players/l/luxga01.shtml,True,0,0.0
Matt Beaty,https://www.baseball-reference.com/players/b/beatyma01.shtml,True,0,0.0
Austin Barnes,https://www.baseball-reference.com/players/b/barneau01.shtml,True,0,0.0
Albert Pujols,https://www.baseball-reference.com/players/p/pujolal01.shtml,True,0,0.0
Zach McKinstry,https://www.baseball-reference.com/players/m/mckinza01.shtml,True,0,0.0
Billy McKinney,https://www.baseball-reference.com/players/m/mckinbi01.shtml,True,0,0.0
Luke Raley,https://www.baseball-reference.com/players/r/raleylu01.shtml,True,0,0.0
Sheldon Neuse,https://www.baseball-reference.com/players/n/neusesh01.shtml,True,0,0.0
Edwin Rios,https://www.baseball-reference.com/players/r/riosed01.shtml,True,0,0.0
Steven Souza Jr.,https://www.baseball-reference.com/players/s/souzast01.shtml,True,0,0.0
DJ Peters,https://www.baseball-reference.com/players/p/peterdj01.shtml,True,0,0.0
Yoshi Tsutsugo,https://www.baseball-reference.com/players/t/tsutsyo01.shtml,True,0,0.0
Andy Burns,https://www.baseball-reference.com/players/b/burnsan01.shtml,True,0,0.0
Zach Reks,https://www.baseball-reference.com/players/r/reksza01.shtml,True,0,0.0
Keibert Ruiz,https://www.baseball-reference.com/players/r/ruizke01.shtml,True,0,0.0
